Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler
500;6514747.377;-655072.0381;-284869.522;0;0;0;-1.980995038;0.188957862;727278.0393;1067853.905;5611610.147;-0.001135996;0;0;0;0;12.7079018;0;-1.980995038;0.188957862;-4.832577151;0.073575548;0.298170015;3.167422849;36870.51979;-7016.22663;0;0;86400.5;2163;0;0;496.4380228;36868.30514
600;6514827.353;-654433.3606;-284508.6041;0;0;0;-1.980888147;0.189254598;726576.4588;1067152.306;5607923.221;-0.001135996;0;0;0;0;12.68933938;0;-1.980888147;0.189254598;-4.829133079;0.073682119;0.298354757;3.170866921;36868.01482;-7015.749949;0;0;86400.6;2163;0;0;596.4403631;36865.79789
700;6514907.247;-653794.6749;-284147.6822;0;0;0;-1.980781037;0.189551797;725874.926;1066450.755;5604236.545;-0.001135996;0;0;0;0;12.67080216;0;-1.980781037;0.189551797;-4.825683645;0.07378891;0.298539963;3.174316355;36865.50252;-7015.271875;0;0;86400.7;2163;0;0;696.4427032;36863.28292
800;6514987.058;-653155.9812;-283786.7563;0;0;0;-1.980673706;0.189849459;725173.441;1065749.252;5600550.12;-0.001135996;0;0;0;0;12.65229006;0;-1.980673706;0.189849459;-4.822228834;0.07389592;0.298725632;3.177771166;36862.98238;-7014.792308;0;0;86400.8;2163;0;0;796.4450432;36860.76017
900;6515066.787;-652517.2795;-283425.8263;0;0;0;-1.980566155;0.190147586;724472.0041;1065047.797;5596863.948;-0.001135996;0;0;0;0;12.63380304;0;-1.980566155;0.190147586;-4.818768629;0.074003152;0.298911768;3.181231371;36860.45438;-7014.311245;0;0;86400.9;2163;0;0;896.447383;36858.22962
1000;6515146.433;-651878.5697;-283064.8924;0;0;0;-1.980458382;0.190446179;723770.6153;1064346.39;5593178.03;-0.001135996;0;0;0;0;12.61534102;0;-1.980458382;0.190446179;-4.815303017;0.074110603;0.299098371;3.184696983;36857.91874;-7013.828729;0;0;86401;2163;0;0;996.4497226;36855.69123
1100;6515225.997;-651239.8518;-282703.9544;0;0;0;-1.980350388;0.190745239;723069.2748;1063645.031;5589492.365;-0.001135996;0;0;0;0;12.59690396;0;-1.980350388;0.190745239;-4.811831981;0.074218277;0.299285442;3.188168019;36855.37487;-7013.344646;0;0;86401.1;2163;0;0;1096.452062;36853.14499
1200;6515305.477;-650601.126;-282343.0124;0;0;0;-1.98024217;0.191044767;722367.9828;1062943.721;5585806.955;-0.001135996;0;0;0;0;12.57849179;0;-1.98024217;0.191044767;-4.808355508;0.074326172;0.299472983;3.191644492;36852.82351;-7012.859139;0;0;86401.2;2163;0;0;1196.454401;36850.59086
1300;6515384.876;-649962.3921;-281982.0665;0;0;0;-1.980133728;0.191344765;721666.7394;1062242.459;5582121.8;-0.001135996;0;0;0;0;12.56010447;0;-1.980133728;0.191344765;-4.80487358;0.074434292;0.299660996;3.19512642;36850.26413;-7012.372104;0;0;86401.3;2163;0;0;1296.456741;36848.0288
1400;6515464.191;-649323.6501;-281621.1165;0;0;0;-1.980025063;0.191645235;720965.5447;1061541.247;5578436.902;-0.001135996;0;0;0;0;12.54174192;0;-1.980025063;0.191645235;-4.801386183;0.074542636;0.299849481;3.198613817;36847.69678;-7011.883555;0;0;86401.4;2163;0;0;1396.45908;36845.4588
1500;6515543.424;-648684.9002;-281260.1625;0;0;0;-1.979916172;0.191946177;720264.3989;1060840.083;5574752.261;-0.001135996;0;0;0;0;12.5234041;0;-1.979916172;0.191946177;-4.797893302;0.074651203;0.300038439;3.202106698;36845.12165;-7011.393524;0;0;86401.5;2163;0;0;1496.461418;36842.88082
1600;6515622.575;-648046.1423;-280899.2046;0;0;0;-1.979807056;0.192247593;719563.3022;1060138.968;5571067.878;-0.001135996;0;0;0;0;12.50509095;0;-1.979807056;0.192247593;-4.794335017;0.074759996;0.300227873;3.205664983;36842.53811;-7010.901891;0;0;86401.6;2163;0;0;1596.463757;36840.29483
1700;6515701.642;-647407.3764;-280538.2426;0;0;0;-1.979697714;0.192549484;718862.2547;1059437.902;5567383.754;-0.001135996;0;0;0;0;12.48680241;0;-1.979697714;0.192549484;-4.790761932;0.074869015;0.300417783;3.209238068;36839.94694;-7010.408809;0;0;86401.7;2163;0;0;1696.466096;36837.7008
1800;6515780.628;-646768.6025;-280177.2767;0;0;0;-1.979588144;0.192851852;718161.2566;1058736.886;5563699.889;-0.001135996;0;0;0;0;12.46853843;0;-1.979588144;0.192851852;-4.787183206;0.074978261;0.300608172;3.212816794;36837.3476;-7009.914172;0;0;86401.8;2163;0;0;1796.468434;36835.09869
1900;6515859.53;-646129.8206;-279816.3069;0;0;0;-1.979478347;0.193154698;717460.3079;1058035.92;5560016.285;-0.001135996;0;0;0;0;12.45029894;0;-1.979478347;0.193154698;-4.783598823;0.075087734;0.300799039;3.216401177;36834.74015;-7009.41799;0;0;86401.9;2163;0;0;1896.470772;36832.48849
2000;6515938.35;-645491.0308;-279455.333;0;0;0;-1.979368321;0.193458023;716759.409;1057335.003;5556332.941;-0.001135996;0;0;0;0;12.43208389;0;-1.979368321;0.193458023;-4.780008768;0.075197434;0.300990387;3.219991232;36832.12476;-7008.920297;0;0;86402;2163;0;0;1996.47311;36829.87016
2100;6516017.087;-644852.233;-279094.3552;0;0;0;-1.979258066;0.193761829;716058.5599;1056634.136;5552649.86;-0.001135996;0;0;0;0;12.41389323;0;-1.979258066;0.193761829;-4.776413024;0.075307364;0.301182217;3.223586976;36829.50078;-7008.42097;0;0;86402.1;2163;0;0;2096.475448;36827.24366
2200;6516095.742;-644213.4272;-278733.3735;0;0;0;-1.979147581;0.194066116;715357.7607;1055933.319;5548967.042;-0.001135996;0;0;0;0;12.3957269;0;-1.979147581;0.194066116;-4.772811575;0.075417523;0.30137453;3.227188425;36826.86905;-7007.920169;0;0;86402.2;2163;0;0;2196.477786;36824.60897
2300;6516174.314;-643574.6135;-278372.3878;0;0;0;-1.979036866;0.194370887;714657.0117;1055232.552;5545284.487;-0.001135996;0;0;0;0;12.37758485;0;-1.979036866;0.194370887;-4.769204406;0.075527913;0.301567328;3.230795594;36824.22899;-7007.417783;0;0;86402.3;2163;0;0;2296.480123;36821.96606
2400;6516252.803;-642935.7918;-278011.3981;0;0;0;-1.978925919;0.194676143;713956.313;1054531.835;5541602.196;-0.001135996;0;0;0;0;12.35946701;0;-1.978925919;0.194676143;-4.765591498;0.075638533;0.301760612;3.234408502;36821.58067;-7006.913824;0;0;86402.4;2163;0;0;2396.48246;36819.31489
2500;6516331.21;-642296.9623;-277650.4046;0;0;0;-1.97881474;0.194981885;713255.6647;1053831.169;5537920.171;-0.001135996;0;0;0;0;12.34137333;0;-1.97881474;0.194981885;-4.761972837;0.075749385;0.301954383;3.238027163;36818.92422;-7006.408319;0;0;86402.5;2163;0;0;2496.484798;36816.65544
2600;6516409.534;-641658.1248;-277289.407;0;0;0;-1.978703329;0.195288115;712555.0671;1053130.553;5534238.411;-0.001135996;0;0;0;0;12.32330377;0;-1.978703329;0.195288115;-4.758348406;0.075860469;0.302148644;3.241651594;36816.25909;-7005.90116;0;0;86402.6;2163;0;0;2596.487135;36813.98767
2700;6516487.776;-641019.2794;-276928.4056;0;0;0;-1.978591684;0.195594833;711854.5202;1052429.989;5530556.919;-0.001135996;0;0;0;0;12.30525825;0;-1.978591684;0.195594833;-4.754718189;0.075971786;0.302343394;3.245281811;36813.58602;-7005.392492;0;0;86402.7;2163;0;0;2696.489471;36811.31154
2800;6516565.934;-640380.426;-276567.4002;0;0;0;-1.978479805;0.195902042;711154.0242;1051729.475;5526875.695;-0.001135996;0;0;0;0;12.28723674;0;-1.978479805;0.195902042;-4.751082168;0.076083338;0.302538636;3.248917832;36810.90447;-7004.88221;0;0;86402.8;2163;0;0;2796.491808;36808.62703
2900;6516644.011;-639741.5648;-276206.3909;0;0;0;-1.97836769;0.196209742;710453.5793;1051029.012;5523194.739;-0.001135996;0;0;0;0;12.26923916;0;-1.97836769;0.196209742;-4.747440327;0.076195123;0.302734372;3.252559673;36808.21448;-7004.370323;0;0;86402.9;2163;0;0;2896.494145;36805.93412
3000;6516722.004;-639102.6957;-275845.3777;0;0;0;-1.97825534;0.196517936;709753.1857;1050328.601;5519514.052;-0.001135996;0;0;0;0;12.25126548;0;-1.97825534;0.196517936;-4.74379265;0.076307144;0.302930601;3.25620735;36805.51623;-7003.856862;0;0;86403;2163;0;0;2996.496481;36803.23274
3100;6516799.915;-638463.8187;-275484.3606;0;0;0;-1.978142754;0.196826624;709052.8435;1049628.241;5515833.636;-0.001135996;0;0;0;0;12.23331563;0;-1.978142754;0.196826624;-4.74013912;0.076419401;0.303127327;3.25986088;36802.8091;-7003.341713;0;0;86403.1;2163;0;0;3096.498817;36800.5229
3200;6516877.743;-637824.9339;-275123.3396;0;0;0;-1.978029931;0.197135808;708352.5528;1048927.933;5512153.49;-0.001135996;0;0;0;0;12.21538956;0;-1.978029931;0.197135808;-4.736479721;0.076531895;0.30332455;3.263520279;36800.09392;-7002.825032;0;0;86403.2;2163;0;0;3196.501153;36797.80454
3300;6516955.489;-637186.0411;-274762.3147;0;0;0;-1.977916869;0.197445489;707652.3138;1048227.676;5508473.617;-0.001135996;0;0;0;0;12.19748721;0;-1.977916869;0.197445489;-4.732814434;0.076644627;0.303522271;3.267185566;36797.37003;-7002.306692;0;0;86403.3;2163;0;0;3296.503489;36795.07764
3400;6517033.152;-636547.1405;-274401.2859;0;0;0;-1.977803569;0.197755669;706952.1268;1047527.471;5504794.017;-0.001135996;0;0;0;0;12.17960854;0;-1.977803569;0.197755669;-4.729143244;0.076757597;0.303720493;3.270856756;36794.63759;-7001.786727;0;0;86403.4;2163;0;0;3396.505824;36792.34217
3500;6517110.732;-635908.2321;-274040.2532;0;0;0;-1.977690029;0.198066349;706251.9918;1046827.319;5501114.69;-0.001135996;0;0;0;0;12.16175349;0;-1.977690029;0.198066349;-4.725466133;0.076870805;0.303919216;3.274533867;36791.89672;-7001.265157;0;0;86403.5;2163;0;0;3496.50816;36789.59808
3600;6517188.23;-635269.3158;-273679.2166;0;0;0;-1.97757625;0.198377531;705551.909;1046127.218;5497435.638;-0.001135996;0;0;0;0;12.143922;0;-1.97757625;0.198377531;-4.721783085;0.076984253;0.304118442;3.278216915;36789.14682;-7000.741868;0;0;86403.6;2163;0;0;3596.510495;36786.84535
3700;6517265.645;-634630.3917;-273318.1762;0;0;0;-1.977462229;0.198689217;704851.8786;1045427.17;5493756.861;-0.001135996;0;0;0;0;12.12611402;0;-1.977462229;0.198689217;-4.718094082;0.077097943;0.304318173;3.281905918;36786.38866;-7000.217007;0;0;86403.7;2163;0;0;3696.51283;36784.08395
3800;6517342.978;-633991.4597;-272957.1319;0;0;0;-1.977347966;0.199001406;704151.9008;1044727.175;5490078.36;-0.001135996;0;0;0;0;12.10832949;0;-1.977347966;0.199001406;-4.714399107;0.077211873;0.30451841;3.285600893;36783.62166;-6999.690465;0;0;86403.8;2163;0;0;3796.515165;36781.31383
3900;6517420.227;-633352.5199;-272596.0837;0;0;0;-1.977233461;0.199314102;703451.9757;1044027.232;5486400.137;-0.001135996;0;0;0;0;12.09056838;0;-1.977233461;0.199314102;-4.710698143;0.077326046;0.304719154;3.289301857;36780.84595;-6999.162265;0;0;86403.9;2163;0;0;3896.5175;36778.53498
4000;6517497.395;-632713.5724;-272235.0316;0;0;0;-1.977118713;0.199627305;702752.1034;1043327.343;5482722.191;-0.001135996;0;0;0;0;12.07283061;0;-1.977118713;0.199627305;-4.706991173;0.077440461;0.304920407;3.293008827;36778.06163;-6998.632426;0;0;86404;2163;0;0;3996.519835;36775.74734
4100;6517574.479;-632074.617;-271873.9757;0;0;0;-1.977003721;0.199941017;702052.2842;1042627.506;5479044.525;-0.001135996;0;0;0;0;12.05511614;0;-1.977003721;0.199941017;-4.703278179;0.07755512;0.30512217;3.296721821;36775.2681;-6998.100836;0;0;86404.1;2163;0;0;4096.522169;36772.9509
4200;6517651.481;-631435.6538;-271512.916;0;0;0;-1.976888484;0.20025524;701352.5182;1041927.723;5475367.138;-0.001135996;0;0;0;0;12.03742492;0;-1.976888484;0.20025524;-4.699559144;0.077670023;0.305324446;3.300440856;36772.46617;-6997.567645;0;0;86404.2;2163;0;0;4196.524503;36770.14562
4300;6517728.4;-630796.6828;-271151.8524;0;0;0;-1.976773001;0.200569974;700652.8056;1041227.993;5471690.032;-0.001135996;0;0;0;0;12.01975689;0;-1.976773001;0.200569974;-4.695834051;0.077785172;0.305527234;3.304165949;36769.65522;-6997.032738;0;0;86404.3;2163;0;0;4296.526837;36767.33145
4400;6517805.237;-630157.704;-270790.7849;0;0;0;-1.976657272;0.200885222;699953.1466;1040528.316;5468013.207;-0.001135996;0;0;0;0;12.00211201;0;-1.976657272;0.200885222;-4.692102881;0.077900566;0.305730537;3.307897119;36766.8354;-6996.496145;0;0;86404.4;2163;0;0;4396.529171;36764.50837
4500;6517881.991;-629518.7175;-270429.7136;0;0;0;-1.976541296;0.201200985;699253.5412;1039828.693;5464336.665;-0.001135996;0;0;0;0;11.98449021;0;-1.976541296;0.201200985;-4.688365618;0.078016208;0.305934357;3.311634382;36764.00677;-6995.957875;0;0;86404.5;2163;0;0;4496.531505;36761.67634
4600;6517958.662;-628879.7232;-270068.6385;0;0;0;-1.976425072;0.201517264;698553.9898;1039129.125;5460660.406;-0.001135996;0;0;0;0;11.96689145;0;-1.976425072;0.201517264;-4.684622243;0.078132096;0.306138694;3.315377757;36761.16877;-6995.417822;0;0;86404.6;2163;0;0;4596.533838;36758.83534
4700;6518035.25;-628240.7211;-269707.5596;0;0;0;-1.976308599;0.201834061;697854.4924;1038429.61;5456984.432;-0.001135996;0;0;0;0;11.94931567;0;-1.976308599;0.201834061;-4.680872739;0.078248233;0.30634355;3.319127261;36758.3222;-6994.876138;0;0;86404.7;2163;0;0;4696.536172;36755.9853
4800;6518111.756;-627601.7113;-269346.4768;0;0;0;-1.976191877;0.202151377;697155.0493;1037730.149;5453308.742;-0.001135996;0;0;0;0;11.93176283;0;-1.976191877;0.202151377;-4.677117089;0.078364619;0.306548927;3.322882911;36755.46645;-6994.332706;0;0;86404.8;2163;0;0;4796.538505;36753.12623
4900;6518188.18;-626962.6938;-268985.3902;0;0;0;-1.976074904;0.202469214;696455.6605;1037030.743;5449633.339;-0.001135996;0;0;0;0;11.91423286;0;-1.976074904;0.202469214;-4.673355273;0.078481256;0.306754827;3.326644727;36752.60162;-6993.787547;0;0;86404.9;2163;0;0;4896.540838;36750.25806
5000;6518264.52;-626323.6685;-268624.2998;0;0;0;-1.975957681;0.202787574;695756.3264;1036331.392;5445958.222;-0.001135996;0;0;0;0;11.89672573;0;-1.975957681;0.202787574;-4.669587275;0.078598143;0.30696125;3.330412725;36749.72783;-6993.240683;0;0;86405;2163;0;0;4996.543171;36747.38077
5100;6518340.778;-625684.6355;-268263.2056;0;0;0;-1.975840205;0.203106457;695057.047;1035632.095;5442283.393;-0.001135996;0;0;0;0;11.87924138;0;-1.975840205;0.203106457;-4.665813076;0.078715281;0.307168199;3.334186924;36746.84451;-6992.692006;0;0;86405.1;2163;0;0;5096.545503;36744.49432
5200;6518416.954;-625045.5947;-267902.1076;0;0;0;-1.975722477;0.203425866;694357.8225;1034932.854;5438608.853;-0.001135996;0;0;0;0;11.86177976;0;-1.975722477;0.203425866;-4.662032659;0.078832672;0.307375674;3.337967341;36743.95244;-6992.141664;0;0;86405.2;2163;0;0;5196.547836;36741.59869
5300;6518493.046;-624406.5463;-267541.0058;0;0;0;-1.975604495;0.203745802;693658.6531;1034233.667;5434934.603;-0.001135996;0;0;0;0;11.84434081;0;-1.975604495;0.203745802;-4.658246004;0.078950316;0.307583678;3.341753996;36741.05096;-6991.58953;0;0;86405.3;2163;0;0;5296.550168;36738.69381
5400;6518569.056;-623767.4901;-267179.9002;0;0;0;-1.975486258;0.204066266;692959.539;1033534.536;5431260.643;-0.001135996;0;0;0;0;11.82692448;0;-1.975486258;0.204066266;-4.654453094;0.079068214;0.307792212;3.345546906;36738.14029;-6991.035647;0;0;86405.4;2163;0;0;5396.5525;36735.77968
5500;6518644.984;-623128.4263;-266818.7909;0;0;0;-1.975367767;0.20438726;692260.4804;1032835.46;5427586.975;-0.001135996;0;0;0;0;11.80953074;0;-1.975367767;0.20438726;-4.650653911;0.079186367;0.308001278;3.349346089;36735.22045;-6990.48002;0;0;86405.5;2163;0;0;5496.554832;36732.85624
5600;6518720.828;-622489.3548;-266457.6777;0;0;0;-1.975249019;0.204708786;691561.4774;1032136.44;5423913.6;-0.001135996;0;0;0;0;11.79215952;0;-1.975249019;0.204708786;-4.646848436;0.079304774;0.308210876;3.353151564;36732.29091;-6989.922548;0;0;86405.6;2163;0;0;5596.557163;36729.92346
5700;6518796.59;-621850.2755;-266096.5608;0;0;0;-1.975130014;0.205030845;690862.5302;1031437.476;5420240.517;-0.001135996;0;0;0;0;11.77481077;0;-1.975130014;0.205030845;-4.643036651;0.079423439;0.308421009;3.356963349;36729.35241;-6989.36337;0;0;86405.7;2163;0;0;5696.559495;36726.9813
5800;6518872.27;-621211.1887;-265735.4401;0;0;0;-1.975010752;0.205353439;690163.6389;1030738.567;5416567.73;-0.001135996;0;0;0;0;11.75748444;0;-1.975010752;0.205353439;-4.639218537;0.079542361;0.308631678;3.360781463;36726.40435;-6988.802372;0;0;86405.8;2163;0;0;5796.561826;36724.02973
5900;6518947.866;-620572.0941;-265374.3156;0;0;0;-1.974891232;0.205676569;689464.8039;1030039.715;5412895.237;-0.001135996;0;0;0;0;11.74018049;0;-1.974891232;0.205676569;-4.635394076;0.079661542;0.308842885;3.364605924;36723.44692;-6988.239593;0;0;86405.9;2163;0;0;5896.564157;36721.06873
6000;6519023.38;-619932.9919;-265013.1874;0;0;0;-1.974771452;0.206000237;688766.0252;1029340.919;5409223.041;-0.001135996;0;0;0;0;11.72289887;0;-1.974771452;0.206000237;-4.631563249;0.07978098;0.309054631;3.368436751;36720.48013;-6987.675031;0;0;86406;2163;0;0;5996.566488;36718.09822
6100;6519098.812;-619293.882;-264652.0554;0;0;0;-1.974651412;0.206324444;688067.303;1028642.18;5405551.141;-0.001135996;0;0;0;0;11.70563951;0;-1.974651412;0.206324444;-4.627726038;0.079900679;0.309266918;3.372273962;36717.50343;-6987.108583;0;0;86406.1;2163;0;0;6096.568819;36715.11819
6200;6519174.16;-618654.7646;-264290.9197;0;0;0;-1.97453111;0.206649193;687368.6375;1027943.498;5401879.54;-0.001135996;0;0;0;0;11.68840239;0;-1.97453111;0.206649193;-4.623882423;0.080020639;0.309479748;3.376117577;36714.51761;-6986.5404;0;0;86406.2;2163;0;0;6196.57115;36712.12862
6300;6519249.426;-618015.6394;-263929.7802;0;0;0;-1.974410547;0.206974484;686670.029;1027244.872;5398208.238;-0.001135996;0;0;0;0;11.67118744;0;-1.974410547;0.206974484;-4.620032387;0.08014086;0.309693122;3.379967613;36711.52202;-6985.97036;0;0;86406.3;2163;0;0;6296.57348;36709.12942
6400;6519324.61;-617376.5067;-263568.637;0;0;0;-1.974289721;0.207300319;685971.4775;1026546.304;5394537.236;-0.001135996;0;0;0;0;11.65399461;0;-1.974289721;0.207300319;-4.616175909;0.080261343;0.309907041;3.383824091;36708.5169;-6985.398504;0;0;86406.4;2163;0;0;6396.57581;36706.1206
6500;6519399.71;-616737.3663;-263207.4901;0;0;0;-1.974168632;0.2076267;685272.9832;1025847.793;5390866.535;-0.001135996;0;0;0;0;11.63682386;0;-1.974168632;0.2076267;-4.612312971;0.08038209;0.310121508;3.387687029;36705.5022;-6984.824825;0;0;86406.5;2163;0;0;6496.57814;36703.1021
6600;6519474.729;-616098.2183;-262846.3394;0;0;0;-1.974047278;0.207953628;684574.5464;1025149.339;5387196.136;-0.001135996;0;0;0;0;11.61967514;0;-1.974047278;0.207953628;-4.608443554;0.0805031;0.310336524;3.391556446;36702.47743;-6984.249231;0;0;86406.6;2163;0;0;6596.58047;36700.07389
6700;6519549.664;-615459.0627;-262485.185;0;0;0;-1.973925659;0.208281106;683876.1672;1024450.943;5383526.04;-0.001135996;0;0;0;0;11.60254839;0;-1.973925659;0.208281106;-4.604567639;0.080624376;0.31055209;3.395432361;36699.44336;-6983.671866;0;0;86406.7;2163;0;0;6696.582799;36697.03594
6800;6519624.517;-614819.8996;-262124.0269;0;0;0;-1.973803773;0.208609134;683177.8458;1023752.604;5379856.248;-0.001135996;0;0;0;0;11.58544358;0;-1.973803773;0.208609134;-4.600685206;0.080745917;0.310768208;3.399314794;36696.39933;-6983.092606;0;0;86406.8;2163;0;0;6796.585129;36693.98817
6900;6519699.287;-614180.7288;-261762.8651;0;0;0;-1.973681621;0.208937714;682479.5825;1023054.324;5376186.76;-0.001135996;0;0;0;0;11.56836065;0;-1.973681621;0.208937714;-4.596796237;0.080867725;0.310984881;3.403203763;36693.34554;-6982.51149;0;0;86406.9;2163;0;0;6896.587458;36690.9306
7000;6519773.974;-613541.5505;-261401.6995;0;0;0;-1.973559201;0.209266848;681781.3773;1022356.102;5372517.579;-0.001135996;0;0;0;0;11.55129955;0;-1.973559201;0.209266848;-4.592900712;0.0809898;0.311202108;3.407099288;36690.282;-6981.928517;0;0;86407;2163;0;0;6996.589787;36687.86315
7100;6519848.578;-612902.3645;-261040.5303;0;0;0;-1.973436511;0.209596538;681083.2304;1021657.939;5368848.704;-0.001135996;0;0;0;0;11.53426024;0;-1.973436511;0.209596538;-4.588978046;0.081112144;0.311419893;3.411021954;36687.2082;-6981.343592;0;0;86407.1;2163;0;0;7096.592116;36684.7858
7200;6519923.1;-612263.1711;-260679.3573;0;0;0;-1.973313552;0.209926785;680385.1422;1020959.834;5365180.137;-0.001135996;0;0;0;0;11.51724266;0;-1.973313552;0.209926785;-4.585026101;0.081234757;0.311638236;3.414973899;36684.12491;-6980.756862;0;0;86407.2;2163;0;0;7196.594445;36681.69849
7300;6519997.54;-611623.97;-260318.1807;0;0;0;-1.973190323;0.210257591;679687.1127;1020261.787;5361511.88;-0.001135996;0;0;0;0;11.50024677;0;-1.973190323;0.210257591;-4.581067468;0.081357641;0.31185714;3.418932532;36681.03142;-6980.168191;0;0;86407.3;2163;0;0;7296.596773;36678.6012
7400;6520071.896;-610984.7615;-259957.0004;0;0;0;-1.973066822;0.210588958;678989.1421;1019563.8;5357843.932;-0.001135996;0;0;0;0;11.48327252;0;-1.973066822;0.210588958;-4.577102127;0.081480796;0.312076606;3.422897873;36677.92804;-6979.577637;0;0;86407.4;2163;0;0;7396.599101;36675.49389
7500;6520146.17;-610345.5454;-259595.8164;0;0;0;-1.972943049;0.210920886;678291.2307;1018865.872;5354176.294;-0.001135996;0;0;0;0;11.46631986;0;-1.972943049;0.210920886;-4.573130059;0.081604222;0.312296636;3.426869941;36674.81468;-6978.985184;0;0;86407.5;2163;0;0;7496.601429;36672.37651
7600;6520220.362;-609706.3217;-259234.6287;0;0;0;-1.972819002;0.211253379;677593.3785;1018168.003;5350508.969;-0.001135996;0;0;0;0;11.44938875;0;-1.972819002;0.211253379;-4.569151244;0.081727921;0.312517231;3.430848756;36671.69087;-6978.390743;0;0;86407.6;2163;0;0;7596.603757;36669.24903
7700;6520294.47;-609067.0905;-258873.4373;0;0;0;-1.972694681;0.211586437;676895.5859;1017470.194;5346841.956;-0.001135996;0;0;0;0;11.43247914;0;-1.972694681;0.211586437;-4.565165661;0.081851894;0.312738393;3.434834339;36668.55732;-6977.794448;0;0;86407.7;2163;0;0;7696.606085;36666.11139
7800;6520368.496;-608427.8519;-258512.2423;0;0;0;-1.972570086;0.211920062;676197.853;1016772.444;5343175.258;-0.001135996;0;0;0;0;11.41559097;0;-1.972570086;0.211920062;-4.56117329;0.081976142;0.312960124;3.43882671;36665.41343;-6977.196185;0;0;86407.8;2163;0;0;7796.608412;36662.96357
7900;6520442.439;-607788.6057;-258151.0436;0;0;0;-1.972445214;0.212254256;675500.18;1016074.755;5339508.874;-0.001135996;0;0;0;0;11.39872421;0;-1.972445214;0.212254256;-4.557174111;0.082100665;0.313182426;3.442825889;36662.25944;-6976.596001;0;0;86407.9;2163;0;0;7896.610739;36659.80552
8000;6520516.3;-607149.352;-257789.8413;0;0;0;-1.972320065;0.212589021;674802.5671;1015377.125;5335842.806;-0.001135996;0;0;0;0;11.38187881;0;-1.972320065;0.212589021;-4.553168104;0.082225464;0.313405299;3.446831896;36659.09526;-6975.993878;0;0;86408;2163;0;0;7996.613066;36656.63721
8100;6520590.078;-606510.0908;-257428.6353;0;0;0;-1.972194639;0.212924358;674105.0145;1014679.556;5332177.055;-0.001135996;0;0;0;0;11.36505471;0;-1.972194639;0.212924358;-4.549155249;0.082350542;0.313628747;3.450844751;36655.92039;-6975.389722;0;0;86408.1;2163;0;0;8096.615393;36653.45859
8200;6520663.773;-605870.8221;-257067.4257;0;0;0;-1.972068933;0.213260269;673407.5224;1013982.047;5328511.623;-0.001135996;0;0;0;0;11.34825188;0;-1.972068933;0.213260269;-4.545135524;0.082475897;0.31385277;3.454864476;36652.73565;-6974.783685;0;0;86408.2;2163;0;0;8196.61772;36650.26961
8300;6520737.385;-605231.546;-256706.2124;0;0;0;-1.971942948;0.213596756;672710.0909;1013284.599;5324846.509;-0.001135996;0;0;0;0;11.33147027;0;-1.971942948;0.213596756;-4.541108909;0.082601532;0.31407737;3.458891091;36649.5403;-6974.175631;0;0;86408.3;2163;0;0;8296.620046;36647.07023
8400;6520810.915;-604592.2623;-256344.9955;0;0;0;-1.971816683;0.21393382;672012.7204;1012587.212;5321181.715;-0.001135996;0;0;0;0;11.31470982;0;-1.971816683;0.21393382;-4.537075384;0.082727447;0.31430255;3.462924616;36646.33468;-6973.56562;0;0;86408.4;2163;0;0;8396.622373;36643.86043
8500;6520884.362;-603952.9713;-255983.7749;0;0;0;-1.971690136;0.214271464;671315.4109;1011889.886;5317517.242;-0.001135996;0;0;0;0;11.29797049;0;-1.971690136;0.214271464;-4.533034929;0.082853643;0.31452831;3.466965071;36643.11863;-6972.953627;0;0;86408.5;2163;0;0;8496.624699;36640.64015
8600;6520957.726;-603313.6727;-255622.5507;0;0;0;-1.971563306;0.214609688;670618.1627;1011192.621;5313853.091;-0.001135996;0;0;0;0;11.28125225;0;-1.971563306;0.214609688;-4.528987521;0.082980121;0.314754653;3.471012479;36639.89172;-6972.339567;0;0;86408.6;2163;0;0;8596.627024;36637.40936
8700;6521031.008;-602674.3668;-255261.3229;0;0;0;-1.971436194;0.214948495;669920.976;1010495.418;5310189.264;-0.001135996;0;0;0;0;11.26455503;0;-1.971436194;0.214948495;-4.52493314;0.083106882;0.31498158;3.47506686;36636.65472;-6971.723586;0;0;86408.7;2163;0;0;8696.62935;36634.16799
8800;6521104.207;-602035.0533;-254900.0915;0;0;0;-1.971308796;0.215287887;669223.8509;1009798.277;5306525.761;-0.001135996;0;0;0;0;11.2478788;0;-1.971308796;0.215287887;-4.520871766;0.083233928;0.315209093;3.479128234;36633.4069;-6971.105546;0;0;86408.8;2163;0;0;8796.631676;36630.91602
